,Dispatching_base_num,Pickup_date,locationID
493,B00013,2015-02-02 23:35:00,
494,B00013,2015-02-02 23:39:00,
495,B00013,2015-02-02 23:40:00,
496,B00013,2015-02-02 23:40:00,
497,B00013,2015-02-02 23:42:00,
498,B00013,2015-02-02 23:44:00,
499,B00013,2015-02-02 23:45:00,
500,B00013,2015-02-02 23:45:00,
501,B00013,2015-02-02 23:46:00,
502,B00013,2015-02-02 23:48:00,
503,B00013,2015-02-02 23:50:00,
504,B00013,2015-02-02 23:52:00,
505,B00013,2015-02-02 23:52:00,
506,B00013,2015-02-02 23:55:00,
507,B00013,2015-02-02 23:55:00,
508,B00013,2015-02-02 23:56:00,
509,B00013,2015-02-03 00:00:00,
510,B00013,2015-02-03 00:08:00,
511,B00013,2015-02-03 00:08:00,
512,B00013,2015-02-03 00:11:00,
513,B00013,2015-02-03 00:13:00,
514,B00013,2015-02-03 00:14:00,
515,B00013,2015-02-03 00:14:00,
516,B00013,2015-02-03 00:14:00,
517,B00013,2015-02-03 00:18:00,
518,B00013,2015-02-03 00:18:00,
519,B00013,2015-02-03 00:19:00,
520,B00013,2015-02-03 00:21:00,
521,B00013,2015-02-03 00:21:00,
522,B00013,2015-02-03 00:22:00,
523,B00013,2015-02-03 00:22:00,
524,B00013,2015-02-03 00:30:00,
525,B00013,2015-02-03 00:30:00,
526,B00013,2015-02-03 00:34:00,
527,B00013,2015-02-03 00:34:00,
528,B00013,2015-02-03 00:39:00,
529,B00013,2015-02-03 00:40:00,
530,B00013,2015-02-03 00:41:00,
531,B00013,2015-02-03 00:41:00,
532,B00013,2015-02-03 00:54:00,
533,B00013,2015-02-03 00:54:00,
534,B00013,2015-02-03 01:00:00,
535,B00013,2015-02-03 01:09:00,
536,B00013,2015-02-03 01:30:00,
537,B00013,2015-02-03 01:35:00,
538,B00013,2015-02-03 01:46:00,
539,B00013,2015-02-03 01:53:00,
540,B00013,2015-02-03 01:55:00,
541,B00013,2015-02-03 01:59:00,
542,B00013,2015-02-03 02:00:00,
543,B00013,2015-02-03 02:00:00,
544,B00013,2015-02-03 02:00:00,
545,B00013,2015-02-03 02:02:00,
546,B00013,2015-02-03 02:26:00,
547,B00013,2015-02-03 02:30:00,
548,B00013,2015-02-03 02:46:00,
549,B00013,2015-02-03 03:12:00,
550,B00013,2015-02-03 03:30:00,
